,subject,duration,standing_up,first_walk,first_turn,second_walk,second_turn,sitting_down,status
0,s01,9273.0,1221.0,2196.0,1220.0,2440.0,1220.0,976.0,success
1,s01,9516.0,976.0,2440.0,1464.0,2196.0,1464.0,976.0,success
2,s01,9760.0,977.0,2683.0,1220.0,2684.0,976.0,1220.0,success
3,s01,9761.0,977.0,2683.0,1221.0,2684.0,976.0,1220.0,success
4,s01,10005.0,977.0,2684.0,1220.0,2928.0,976.0,1220.0,success
5,s01,10004.0,1463.0,2441.0,1219.0,2685.0,976.0,1220.0,success
6,s01,9761.0,1221.0,2439.0,1221.0,2684.0,976.0,1220.0,success
7,s01,9516.0,976.0,2684.0,977.0,2440.0,1463.0,976.0,success
8,s01,9516.0,1220.0,2440.0,1220.0,2196.0,1220.0,1220.0,success
9,s01,8053.0,976.0,1953.0,1219.0,1953.0,1220.0,732.0,success
10,s02,,,,,,,,failure
11,s02,,,,,,,,failure
12,s02,10003.0,1219.0,2440.0,976.0,2928.0,976.0,1464.0,success
13,s02,8784.0,976.0,1952.0,976.0,2683.0,733.0,1464.0,success
14,s02,,,,,,,,failure
15,s02,9272.0,1464.0,1952.0,1220.0,2684.0,488.0,1464.0,success
16,s02,,,,,,,,failure
17,s02,9027.0,1220.0,2196.0,976.0,2440.0,976.0,1219.0,success
18,s02,,,,,,,,failure
19,s03,9272.0,1221.0,2196.0,1464.0,2440.0,1220.0,731.0,success
20,s03,9516.0,1220.0,2439.0,1465.0,2440.0,1219.0,733.0,success
21,s03,9760.0,976.0,2684.0,1707.0,2197.0,1463.0,733.0,success
22,s03,9516.0,1220.0,2440.0,1220.0,2684.0,1220.0,732.0,success
23,s03,10248.0,1220.0,2440.0,1952.0,2440.0,1220.0,976.0,success
24,s03,10003.0,976.0,2683.0,1708.0,2196.0,1465.0,975.0,success
25,s03,10004.0,1220.0,2440.0,1220.0,2440.0,1464.0,1220.0,success
26,s03,9760.0,1220.0,2439.0,1221.0,2683.0,1220.0,977.0,success
27,s03,9761.0,977.0,2684.0,1464.0,2440.0,1220.0,976.0,success
28,s03,9515.0,975.0,2685.0,1952.0,1708.0,1219.0,976.0,success
29,s04,8783.0,1220.0,2196.0,1219.0,1953.0,1220.0,975.0,success
30,s04,9760.0,976.0,1952.0,1464.0,2440.0,976.0,1952.0,success
31,s04,8784.0,976.0,1952.0,1463.0,2197.0,1220.0,976.0,success
32,s04,9515.0,731.0,3416.0,977.0,1951.0,1465.0,975.0,success
33,s04,8784.0,976.0,1952.0,1464.0,1952.0,1220.0,1220.0,success
34,s04,8053.0,977.0,1952.0,1463.0,1465.0,1220.0,976.0,success
35,s04,8539.0,1220.0,1952.0,1464.0,1219.0,1220.0,1464.0,success
36,s04,8052.0,976.0,1952.0,1464.0,1464.0,1220.0,976.0,success
37,s04,8539.0,1220.0,1951.0,976.0,1953.0,1219.0,1220.0,success
38,s04,8296.0,976.0,1708.0,1464.0,1464.0,1220.0,1464.0,success
39,s05,9759.0,975.0,2197.0,2927.0,976.0,1708.0,976.0,success
40,s05,10004.0,976.0,2196.0,1220.0,1464.0,2928.0,1220.0,success
41,s05,9272.0,732.0,2440.0,1220.0,2684.0,1952.0,244.0,success
42,s05,9515.0,975.0,2196.0,1221.0,2928.0,1463.0,732.0,success
43,s05,,,,,,,,failure
44,s05,9272.0,244.0,3172.0,976.0,2684.0,1220.0,976.0,success
45,s05,10248.0,732.0,732.0,3172.0,2684.0,976.0,1952.0,success
46,s05,9029.0,732.0,733.0,3171.0,2441.0,1707.0,245.0,success
47,s05,10248.0,488.0,732.0,1464.0,732.0,5368.0,1464.0,success
48,s05,9517.0,488.0,1221.0,2927.0,1953.0,1952.0,976.0,success
49,s06,8296.0,1220.0,1708.0,1708.0,1220.0,976.0,1464.0,success
50,s06,7075.0,975.0,1953.0,1219.0,1465.0,732.0,731.0,success
51,s06,8052.0,732.0,1953.0,1219.0,1952.0,732.0,1464.0,success
52,s06,7075.0,976.0,1951.0,1220.0,1221.0,731.0,976.0,success
53,s06,7320.0,732.0,1708.0,1708.0,976.0,732.0,1464.0,success
54,s06,7076.0,732.0,1708.0,976.0,1708.0,976.0,976.0,success
55,s06,,,2197.0,976.0,1464.0,976.0,976.0,failure
56,s06,7564.0,1220.0,1463.0,1220.0,1465.0,976.0,1220.0,success
57,s06,7320.0,976.0,1708.0,1219.0,1221.0,975.0,1221.0,success
58,s06,6832.0,976.0,1464.0,1221.0,1219.0,976.0,976.0,success
59,s07,9027.0,1708.0,1951.0,977.0,2440.0,975.0,976.0,success
60,s07,8540.0,1464.0,1952.0,1220.0,1952.0,976.0,976.0,success
61,s07,9759.0,1220.0,2439.0,1953.0,1463.0,977.0,1707.0,success
62,s07,8784.0,1708.0,2196.0,732.0,2196.0,976.0,976.0,success
63,s07,9271.0,1464.0,1952.0,1220.0,2196.0,976.0,1463.0,success
64,s07,9760.0,1464.0,1952.0,732.0,2196.0,1220.0,2196.0,success
65,s07,8539.0,976.0,2440.0,1220.0,1952.0,1220.0,731.0,success
66,s07,9760.0,1464.0,1952.0,1220.0,2196.0,1220.0,1708.0,success
67,s07,9273.0,976.0,2197.0,1219.0,2684.0,976.0,1221.0,success
68,s07,9271.0,1952.0,1952.0,1220.0,2196.0,976.0,975.0,success
69,s08,8540.0,1221.0,2196.0,976.0,1951.0,1220.0,976.0,success
70,s08,8295.0,976.0,2196.0,1220.0,1708.0,1220.0,975.0,success
71,s08,8296.0,976.0,1952.0,1220.0,1952.0,1220.0,976.0,success
72,s08,9272.0,1220.0,2440.0,1464.0,1707.0,1221.0,1220.0,success
73,s08,8784.0,1221.0,2195.0,1709.0,1464.0,1219.0,976.0,success
74,s08,8540.0,976.0,2440.0,1708.0,1464.0,1220.0,732.0,success
75,s08,8540.0,1220.0,2196.0,1464.0,1220.0,1220.0,1220.0,success
76,s08,8784.0,1220.0,2196.0,1708.0,1708.0,976.0,976.0,success
77,s08,8297.0,1220.0,1953.0,1464.0,1464.0,1220.0,976.0,success
78,s08,8540.0,1464.0,1953.0,975.0,1952.0,1220.0,976.0,success
79,s09,8783.0,976.0,2196.0,1952.0,1463.0,977.0,1219.0,success
80,s09,9028.0,976.0,2196.0,1952.0,1463.0,1221.0,1220.0,success
81,s09,8296.0,977.0,1952.0,1220.0,2195.0,976.0,976.0,success
82,s09,8052.0,976.0,1952.0,1220.0,1952.0,732.0,1220.0,success
83,s09,8052.0,976.0,1952.0,1464.0,1708.0,732.0,1220.0,success
84,s09,7807.0,1219.0,1953.0,1219.0,1708.0,732.0,976.0,success
85,s09,7808.0,975.0,1953.0,976.0,1952.0,732.0,1220.0,success
86,s09,7320.0,976.0,1708.0,1708.0,1220.0,732.0,976.0,success
87,s09,7564.0,732.0,1952.0,1464.0,1464.0,488.0,1464.0,success
88,s09,7808.0,976.0,1952.0,1220.0,1464.0,976.0,1220.0,success
